Volume,Page,KF Scientific Name,KF Scientific Name,AH Scientific Name,AH Common Name,"Dimensions (hxw, cm)",Place Name-1,Year-1,Place Name-2,Year-2,Place Name-3,Year-3,Place Name-4,Year-4,Place Name-5,Year-5,Place Name-6 ,Year-6,Place Name-7,Year-7,Place Name-8,Year-8,,
1,64,Cardamine hirsuta L ,Cardamine pensylvanica Muhl ,Cardamine hirsuta L ,hairy bitter-cress,37.7 x 27.0,Great Diamond Island,1888,South Poland,1893,,,,,,,,,,,,,,
1,65,Cardamine parviflora L ,Cardamine hirsuta L ,Cardamine parviflora L ,small-flowered bitter-cress,37.5 x 27.2,South Poland,1893,South Poland,1895,,,,,,,,,,,,,,
1,66,Cardamine hirsuta L,Cardamine parviflora L ,Cardamine parviflora L ,small-flowered bitter-cress,38.0 x 27.3,South Poland,1893,Great Diamond Island,1888,,,,,,,,,,,,,,
1,67,Nasturtium aquaticum L ,Nasturtium officinale Ait F ,Nasturium officinale Ait f ,two-rowed water cress,37.7 x 27.3,Wells,1879,Shapleigh,1901,,,,,,,,,,,,,,
1,68,Cardamine ,Cardamine pensylvanica Muhl ,Cardamine pensylvanica Muhl ex Willd,Pennsylvanian bitter-cress,38.3 x 28.0,Ogunquit,1898,Shapleigh,1901,,,,,,,,,,,,,,
1,69,Arabis laevigata Poir ,,Boechera laevigata (Muhl ex Willd) Al-Shehbaz ,smooth rockcress,38.5 x 28.5,Wells,1879,,,,,,,,,,,,,,,,
1,70,Arabis perfoliata Lam ,,Turritis glabra L ,tower-mustard,37.8 x 28.0,Wells,1879,Ashland,1881,,,,,,,,,,,,,,
1,71,Arabis perfoliata Lam ,,Turritis glabra L ,tower-mustard,35.5 x 27.2,Wells Beach,1879,,,,,,,,,,,,,,,,
1,72,Arabis drummondii Gray ,,Boechera stricta (Graham) Al-Shehbaz ,Canada rockcress,37.3 x 27.5,Ashland,1881,Fort Kent,1881,Oldtown,1880,Oldtown,1881,,,,,,,,,,
1,73,Berteroa incana DC ,Alyssum incana L ,Berteroa incana (L) DC ,hoary false alyssum,37.5 x 28.0,East Livermore,1894,,,,,,,,,,,,,,,,
1,74,Camelina sativa Crantz ,,Camelina sativa (L) Crantz ,large-seeded false flax,37.5 x 28.0,Fort Kent,1880,Kent,1881,,,,,,,,,,,,,,
1,75,Radicula silvestris Druce ,Nasturtium sylvestre R Br,Rorippa sylvestris (L) Bess ,creeping yellow-cress,38.0 x 28.0,Mt. Kineo,nd,Moosehead Lake,1891,,,,,,,,,,,,,,
